50	there	/ðɛə(ɹ)/, /ðɛː(ɹ)/, /ðɛɚ/, /ðɛɹ/, /ðeː(ɹ)/ (stressed);/ðə(ɹ)/, /ðɚ/, /ðə(ɹ)/ (unstressed)
51	time	/taɪm/, [tʰaɪ̯m], /tɑɪm/, [tʰɑe̯m]
52	may	/meɪ/
53	more	/mɔː/, /mɔɹ/, /mo(ː)ɹ/, /moə/, /moʊ/
54	school	/skuːl/, /skuːɫ/
55	years	/jɪəz/, /jɜːz/, /jɪɹz/
56	over	/ˈəʊ.və(ɹ)/, /ˈoʊ.vɚ/
57	only	/ˈəʊn.li/, (in fast speech) /ˈəʊn.i/, /ˈəʊn.lɪ/, (in fast speech) /ˈəʊn.ɪ/, /ˈoʊn.li/
58	would	/wʊd/, /wʊld/, /wuːld/ (stressed);/wəd/, /əd/ (unstressed)
59	later	/ˈleɪtə/, /ˈleɪtɚ/, [ˈleɪ̯ɾɚ]
60	most	/ˈməʊst/, /ˈmoʊst/
61	where	/ʍɛə/, /wɛə/, /ʍɛɚ/, /wɛɚ/
62	between	/bɪˈtwiːn/, /bəˈtwin/, /bɪˈtwin/, [bɪˈtʰwin]
63	some	/sʌm/, [sɐm], /sʊm/, (unstressed) /səm/, [säm]
64	up	/ʌp/, [ɐʔp], [ʌp̚], /ap/, [äp]
65	world	/wɜːld/, /wɝld/, /wɵːld/, [wɵːɯ̯d̥]
66	city	/ˈsɪti/, [ˈsɪtʰiː], /sɪtɪ/, [ˈsɪɾi]
67	national	/ˈnaʃn̩(ə)l/, /ˈnaʃn(ə)l/, /ˈnæʃən(ə)l/, /ˈnæʃn(ə)l/
68	about	/əˈbaʊt/, /əˈbʌʊt/, [əˈbɐʊt], [əˈboʊt], /əˈbɛʊt/
69	such	/sʌt͡ʃ/, /sɪt͡ʃ/, /sɛt͡ʃ/
70	him	/ˈhɪm/ (stressed);/əm/, [ɪ̈m] (unstressed)
71	then	/ðɛn/, /ðen/
72	made	/meɪd/
73	out	/aʊt/, /æɔt/, /æʊt/, /ʌʊt/, /ɘʉt/
74	state	/steɪt/
75	three	/θɹiː/, [θɾ̪̊iː], [θɾ̪̊ɪi], [θɹ̥ɪi], /fɹiː/, /θɹiː/, [θɾ̪̊iː], [t̪ɾ̪̊iː], [θɾ̪̊i], [θɹ̥i], [θɹi]
76	while	/ʍaɪl/, /waɪl/
77	used	/juːzd/, (past of use) /juzd/;/juːst/, /just/ (auxillary verb)
78	university	/juːnɪˈvɜːsəti/, /junɪˈvɝsəti/, /junɪˈvɝsɪti/
79	can	/ˈkæn/, [ˈkʰan], [ˈkʰæn], /ˈkɛn/, [ˈkʰɛˑn] (stressed);/ˈkæn/, [ˈkʰæn], [ˈkʰɛən], /ˈkæn/, [ˈkʰæn], [ˈkʰɛːn] (stressed, see /æ/ raising)
80	united	/juːˈnaɪtɪd/, /jʊˈnaɪtɪd/, /juˈnaɪtɪd/, [juˈnaɪ̯ɾɪ̈d], [ju̟ˈnaɪ̯ɾɪ̈d], [jʊˈnaɪ̯ɾɪ̈d], [jəˈnaɪ̯ɾɪ̈d]
81	under	/ˈʌndə/, [ˈɐn.də(ɹ)], /ˈʌndəɹ/, [ˈʌn(ɾ)ɚ], [ˈʌɾ̃ɚ], /ˈʊndə/
82	known	/nəʊn/, /noʊn/, /ˈnɐʉ.wɘn/
83	season	/ˈsiː.zən/
84	many	/ˈmɛni/, /ˈmɪni/, /ˈmæni/
85	year	/jɪə/, /jɪɹ/, /jøː/, /jɜː/
86	part	/pɑːt/, /pɑɹt/, /pɐːt/
87	became	/bɪˈkeɪm/
88	born	/bɔːn/, /boɹn/, [bo̞ɹn] (with the horse-hoarse merger);/bɔːɹn/, /bɔːn/ (without the horse-hoarse merger)
89	film	/fɪlm/, [fɪɫm], [ˈfɪlm̩], [ˈfɪləm]
90	these	/ðiːz/, /ðiz/
